case_id,submitted_at,complaint_type,ward_or_area,source_channel,assigned_department,predicted_department,routing_confidence,status,is_open_true,stale_risk_score,advisory
TOR311-7B1939713E52,2026-04-26 16:20:52,Hazardous Waste Pick-up,Scarborough Southwest (20),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9999,New,1,0.0006,Staff decision support only. Not an automated decision.
TOR311-0AE8427F9F5A,2026-04-24 21:16:49,Road Pothole / Road Damage,Etobicoke Centre (02),Public 311 benchmark,Transportation Services,Transportation Services,1.0,In Progress,1,0.0588,Staff decision support only. Not an automated decision.
TOR311-062A7BDF9282,2026-04-26 13:16:42,Injured - Wildlife,Scarborough Southwest (20),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9991,Completed,0,0.0003,Staff decision support only. Not an automated decision.
TOR311-A1D2CC438A08,2026-04-07 16:19:37,Timeliness - Complaint - Toronto Water,Toronto-St. Paul's (12),Public 311 benchmark,Toronto Water,Toronto Water,0.9963,In Progress,1,0.7335,Staff decision support only. Not an automated decision.
TOR311-CCC14F44EF2D,2026-04-16 15:09:18,Traffic Signal Repair,Scarborough-Agincourt (22),Public 311 benchmark,Transportation Services,Transportation Services,0.9994,Completed,0,0.0108,Staff decision support only. Not an automated decision.
TOR311-091C345A23EE,2026-04-08 20:35:42,Residential Oversized/Electronics Item Day Collection Not Picked Up,Parkdale-High Park (04),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9977,Cancelled,0,0.0001,Staff decision support only. Not an automated decision.
TOR311-F02DD24AF338,2026-04-14 12:45:50,Catch Basin - Blocked / Flooding,Etobicoke Centre (02),Public 311 benchmark,Transportation Services,Transportation Services,0.9977,Completed,0,0.0247,Staff decision support only. Not an automated decision.
TOR311-BF967B17D30F,2026-04-01 15:16:29,Clean up Illegal Dumping on City Road Allowance,Scarborough-Rouge Park (25),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9873,Cancelled,0,0.0063,Staff decision support only. Not an automated decision.
TOR311-10409E7964E7,2026-04-01 15:01:06,General Tree Maintenance,Parkdale-High Park (04),Public 311 benchmark,"Environment, Climate & Forestry","Environment, Climate & Forestry",0.9916,New,1,0.7306,Staff decision support only. Not an automated decision.
TOR311-1BF3F08D2F7A,2026-04-27 09:09:17,Water Service Line-Turn Off/Burst,Etobicoke Centre (02),Public 311 benchmark,Toronto Water,Toronto Water,0.9974,Completed,0,0.2162,Staff decision support only. Not an automated decision.
TOR311-44C46A48850D,2026-04-27 20:23:25,Property Standards and Maintenance Violations,Davenport (09),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9999,In Progress,1,0.2318,Staff decision support only. Not an automated decision.
TOR311-B3FFF10A2E1A,2026-04-13 09:26:39,Investigate - Menace,Parkdale-High Park (04),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9922,Completed,0,0.0384,Staff decision support only. Not an automated decision.
TOR311-7FDA7F425846,2026-04-17 12:41:20,Staff Service - Compliment - Road Operations,Scarborough-Guildwood (24),Public 311 benchmark,Transportation Services,Transportation Services,0.9851,Completed,0,0.1089,Staff decision support only. Not an automated decision.
TOR311-4E9AB0F96D48,2026-04-11 18:18:47,Clean up Illegal Dumping on City Road Allowance,Toronto-Danforth (14),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9847,Completed,0,0.0116,Staff decision support only. Not an automated decision.
TOR311-A98810288B39,2026-04-08 16:49:53,Residential: Garbage Bin: Missing,Toronto Centre (13),Public 311 benchmark,Solid Waste Management Services,Solid Waste Management Services,0.9966,Completed,0,0.0132,Staff decision support only. Not an automated decision.
TOR311-CC997A634C21,2026-04-22 03:54:59,Power Device Noise,Willowdale (18),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9809,In Progress,1,0.0195,Staff decision support only. Not an automated decision.
TOR311-CFAA009B7DFD,2026-04-10 13:19:43,Timeliness of Service - Complaint - Road Operations,University-Rosedale (11),Public 311 benchmark,Transportation Services,Transportation Services,0.9928,Completed,0,0.1502,Staff decision support only. Not an automated decision.
TOR311-EC631EB1DC45,2026-04-01 11:38:19,Walkway - Damaged or Uneven,Toronto Centre (13),Public 311 benchmark,Transportation Services,Transportation Services,0.9898,New,1,0.3634,Staff decision support only. Not an automated decision.
TOR311-5BC2CC98DBBC,2026-04-17 10:18:45,Road Pothole / Road Damage,Toronto-Danforth (14),Public 311 benchmark,Transportation Services,Transportation Services,1.0,Completed,0,0.0382,Staff decision support only. Not an automated decision.
TOR311-5B0FB70D6697,2026-04-03 16:52:10,Construction Noise,Eglinton-Lawrence (08),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.9971,Completed,0,0.0105,Staff decision support only. Not an automated decision.
TOR311-F8D4A97FDFCA,2026-04-27 13:14:22,Report an Encroachment on City Property,Scarborough-Guildwood (24),Public 311 benchmark,Transportation Services,Transportation Services,0.9944,Completed,0,0.1617,Staff decision support only. Not an automated decision.
TOR311-36DA7B3EA808,2026-04-13 17:03:00,Clean up Debris on Road,Toronto-Danforth (14),Public 311 benchmark,Transportation Services,Transportation Services,0.9963,In Progress,1,0.0311,Staff decision support only. Not an automated decision.
TOR311-0E27F1933546,2026-04-13 12:01:43,Water Service Line-Check Water Service Box,Etobicoke-Lakeshore (03),Public 311 benchmark,Toronto Water,Toronto Water,0.9977,New,1,0.6189,Staff decision support only. Not an automated decision.
TOR311-970B8C05F53B,2026-04-26 19:38:56,Moving Motor Vehicle Noise,York Centre (06),Public 311 benchmark,Municipal Licensing & Standards,Municipal Licensing & Standards,0.997,Completed,0,0.0037,Staff decision support only. Not an automated decision.
